Department,EducationField,JobRole,MaritalStatus,Gender,MonthlyIncome,TotalWorkingYears,YearsAtCompany,YearsWithCurrManager,JobLevel,DistanceFromHome,Age
Research & Development,Medical,Research Scientist,Divorced,Male,2345,8,3,2,1,2,40
Research & Development,Life Sciences,Research Scientist,Single,Male,3420,6,5,3,1,20,44
Sales,Medical,Sales Executive,Married,Male,4373,5,4,3,2,7,33
Sales,Other,Sales Executive,Single,Male,4759,15,13,12,2,3,34
Sales,Life Sciences,Sales Executive,Married,Male,5301,4,2,2,2,16,30
Research & Development,Medical,Laboratory Technician,Single,Female,3673,12,12,8,1,9,42
Sales,Marketing,Sales Executive,Married,Female,4768,11,1,0,2,1,44
Research & Development,Technical Degree,Research Scientist,Divorced,Male,1274,1,1,0,1,7,30
Research & Development,Life Sciences,Research Scientist,Married,Male,4900,13,12,8,2,1,57
Research & Development,Life Sciences,Healthcare Representative,Divorced,Male,10466,29,8,7,3,7,49
Research & Development,Medical,Research Director,Divorced,Male,17007,16,14,9,4,15,34
Sales,Technical Degree,Sales Representative,Married,Male,2909,5,3,2,1,1,28
Sales,Technical Degree,Sales Executive,Single,Female,5765,7,5,0,2,13,29
Sales,Medical,Sales Executive,Single,Female,4599,16,15,10,2,24,34
Sales,Life Sciences,Sales Representative,Married,Male,2404,1,1,0,1,7,35
Research & Development,Medical,Laboratory Technician,Single,Male,3172,4,0,0,1,9,24
Sales,Life Sciences,Sales Representative,Married,Female,2033,1,1,0,1,13,24
Research & Development,Medical,Manufacturing Director,Single,Male,10209,16,2,2,3,2,44
Sales,Life Sciences,Sales Executive,Divorced,Male,8620,10,10,4,2,19,29
Human Resources,Life Sciences,Human Resources,Divorced,Male,2064,6,5,3,1,1,30
Research & Development,Life Sciences,Healthcare Representative,Married,Male,4035,4,3,2,2,4,55
Research & Development,Medical,Laboratory Technician,Married,Female,3838,8,5,2,1,4,33
Sales,Medical,Sales Executive,Married,Female,4591,11,5,2,2,14,47
Research & Development,Medical,Laboratory Technician,Single,Male,2561,8,0,0,1,2,28
Research & Development,Life Sciences,Research Scientist,Divorced,Male,1563,1,1,0,1,1,28
Sales,Life Sciences,Sales Executive,Single,Male,4898,5,4,3,2,7,28
Research & Development,Medical,Laboratory Technician,Married,Female,4789,10,3,2,2,3,49
Research & Development,Life Sciences,Laboratory Technician,Married,Female,3180,4,3,2,1,2,29
Research & Development,Life Sciences,Manufacturing Director,Married,Male,6549,8,8,7,2,29,28
Research & Development,Life Sciences,Healthcare Representative,Single,Male,6388,14,0,0,2,8,33
Research & Development,Medical,Manager,Single,Male,11244,10,5,0,3,10,32
Research & Development,Medical,Manager,Divorced,Female,16032,26,14,12,4,11,54
Research & Development,Technical Degree,Research Scientist,Single,Male,2362,11,9,7,1,1,29
Research & Development,Life Sciences,Research Director,Married,Male,16328,24,20,17,4,28,44
Research & Development,Life Sciences,Manufacturing Director,Single,Female,8376,9,2,2,3,6,39
Sales,Life Sciences,Manager,Married,Female,16606,23,13,1,4,3,46
Research & Development,Life Sciences,Healthcare Representative,Single,Female,8606,11,11,3,3,16,35
Research & Development,Life Sciences,Laboratory Technician,Single,Male,2272,5,4,2,2,20,23
Research & Development,Life Sciences,Laboratory Technician,Single,Male,2018,15,5,0,1,9,40
Sales,Technical Degree,Sales Executive,Married,Male,7083,10,10,6,3,1,34
Research & Development,Life Sciences,Research Scientist,Single,Female,4084,7,7,7,1,3,31
Research & Development,Medical,Research Director,Single,Male,14411,32,32,9,4,22,50
Sales,Technical Degree,Sales Representative,Married,Male,2308,12,11,7,1,7,34
Research & Development,Medical,Laboratory Technician,Married,Male,4841,4,1,0,1,2,42
Research & Development,Medical,Research Scientist,Married,Male,4285,10,10,7,2,13,37
Research & Development,Other,Healthcare Representative,Married,Female,9715,9,7,7,2,8,29
Research & Development,Life Sciences,Manufacturing Director,Single,Male,4320,5,5,2,2,25,33
Research & Development,Technical Degree,Research Scientist,Married,Male,2132,8,5,3,1,28,45
Research & Development,Life Sciences,Healthcare Representative,Married,Male,10124,24,20,9,3,2,42
Sales,Medical,Sales Executive,Married,Male,5473,9,8,1,2,9,40
Research & Development,Life Sciences,Laboratory Technician,Married,Male,5207,15,15,7,2,28,33
Human Resources,Medical,Manager,Single,Male,16437,21,21,7,4,6,40
Research & Development,Technical Degree,Laboratory Technician,Divorced,Male,2296,2,1,0,1,21,24
Research & Development,Life Sciences,Healthcare Representative,Divorced,Male,4069,8,2,2,2,8,40
Research & Development,Technical Degree,Healthcare Representative,Divorced,Male,7441,10,10,7,3,1,45
Sales,Life Sciences,Sales Representative,Married,Female,2430,6,5,2,1,28,35
Research & Development,Life Sciences,Research Scientist,Married,Female,5878,12,7,5,2,5,32
Sales,Life Sciences,Sales Representative,Single,Male,2644,7,3,2,1,2,36
Sales,Life Sciences,Sales Executive,Divorced,Female,6439,18,8,7,2,16,48
Research & Development,Life Sciences,Research Scientist,Married,Male,2451,5,1,0,1,9,29
Sales,Life Sciences,Sales Executive,Married,Male,6392,8,2,2,2,8,33
Sales,Life Sciences,Sales Executive,Married,Male,9714,10,10,7,2,1,30
Human Resources,Human Resources,Human Resources,Married,Male,6077,10,6,2,2,10,38
Research & Development,Medical,Laboratory Technician,Single,Male,2450,3,3,2,1,1,35
Sales,Technical Degree,Sales Executive,Married,Male,9250,9,4,3,3,29,30
Research & Development,Life Sciences,Laboratory Technician,Divorced,Female,2074,1,1,0,1,2,35
Research & Development,Technical Degree,Manufacturing Director,Married,Female,10169,34,33,9,3,2,53
Research & Development,Medical,Manufacturing Director,Married,Male,4855,7,5,4,2,2,38
Research & Development,Technical Degree,Research Scientist,Married,Male,4087,9,6,2,2,1,32
Research & Development,Other,Research Scientist,Married,Female,2367,10,8,6,1,15,48
Research & Development,Medical,Research Scientist,Single,Male,2972,1,1,0,1,7,34
Sales,Marketing,Manager,Married,Male,19586,36,36,13,5,26,55
Research & Development,Life Sciences,Research Scientist,Married,Male,5484,9,2,1,2,1,34
Research & Development,Life Sciences,Research Scientist,Married,Female,2061,1,1,0,1,3,26
Sales,Life Sciences,Sales Executive,Married,Male,9924,10,9,7,2,14,38
Sales,Life Sciences,Sales Executive,Single,Female,4198,8,3,2,2,16,38
Sales,Life Sciences,Sales Executive,Single,Female,6815,15,1,0,2,1,36
Research & Development,Medical,Laboratory Technician,Single,Male,4723,10,10,5,1,3,29
Research & Development,Medical,Healthcare Representative,Single,Female,6142,10,5,4,2,10,35
Sales,Medical,Sales Executive,Married,Male,8237,11,7,6,3,6,39
Research & Development,Life Sciences,Healthcare Representative,Divorced,Male,8853,6,6,3,2,2,29
Sales,Marketing,Manager,Married,Male,19331,27,1,0,5,9,50
Research & Development,Technical Degree,Research Scientist,Married,Male,2073,4,2,2,1,10,23
Research & Development,Life Sciences,Laboratory Technician,Married,Male,5562,9,3,2,2,6,36
Research & Development,Other,Manager,Single,Male,19613,24,1,1,5,9,42
Research & Development,Life Sciences,Laboratory Technician,Married,Male,3407,10,10,8,2,28,35
Research & Development,Technical Degree,Healthcare Representative,Married,Male,5063,8,8,7,2,10,34
Sales,Life Sciences,Sales Executive,Married,Female,4639,5,5,2,2,14,40
Research & Development,Technical Degree,Laboratory Technician,Divorced,Male,4876,8,6,2,1,27,43
Research & Development,Life Sciences,Laboratory Technician,Married,Male,2690,1,1,1,1,7,35
Sales,Life Sciences,Manager,Single,Male,17567,27,26,12,4,1,46
Research & Development,Medical,Laboratory Technician,Married,Male,2408,1,1,0,1,24,28
Research & Development,Other,Research Scientist,Married,Female,2814,4,4,3,1,26,22
Research & Development,Medical,Healthcare Representative,Married,Male,11245,32,30,13,4,20,50
Research & Development,Other,Research Scientist,Married,Female,3312,6,3,2,1,5,32
Research & Development,Medical,Research Director,Divorced,Female,19049,23,22,10,5,7,44
Research & Development,Medical,Research Scientist,Married,Male,2141,6,6,1,1,7,30
Research & Development,Medical,Laboratory Technician,Single,Female,5769,10,10,4,2,5,45
Sales,Marketing,Sales Executive,Married,Male,4385,10,10,5,2,26,45
Sales,Other,Sales Executive,Single,Male,5332,10,5,3,2,2,31
Research & Development,Life Sciences,Manufacturing Director,Married,Female,4663,7,3,1,2,12,36
Research & Development,Life Sciences,Manufacturing Director,Divorced,Male,4724,9,9,2,2,10,34
Research & Development,Life Sciences,Laboratory Technician,Married,Female,3211,10,9,4,1,25,49
Research & Development,Medical,Manufacturing Director,Married,Male,5377,10,7,7,2,10,39
Research & Development,Other,Laboratory Technician,Divorced,Male,4066,7,7,7,1,19,27
Research & Development,Life Sciences,Research Scientist,Married,Male,5208,16,16,10,2,18,35
Research & Development,Medical,Manufacturing Director,Divorced,Female,4877,6,5,0,2,27,28
Research & Development,Medical,Research Scientist,Single,Male,3117,3,2,2,1,5,21
Sales,Medical,Sales Representative,Single,Female,1569,0,0,0,1,3,18
Human Resources,Life Sciences,Manager,Married,Female,19658,27,5,0,5,26,47
Research & Development,Medical,Laboratory Technician,Divorced,Male,3069,11,10,7,2,3,39
Research & Development,Life Sciences,Manufacturing Director,Married,Female,10435,18,18,12,3,15,40
Research & Development,Life Sciences,Healthcare Representative,Married,Female,4148,15,14,9,2,8,35
Research & Development,Life Sciences,Manufacturing Director,Married,Male,5768,9,4,2,2,19,37
Research & Development,Medical,Manufacturing Director,Single,Female,5042,10,9,8,2,4,39
Research & Development,Other,Manufacturing Director,Divorced,Female,5770,10,10,9,2,2,45
Research & Development,Medical,Manufacturing Director,Married,Female,7756,10,5,2,3,2,38
Sales,Medical,Sales Executive,Married,Male,10306,15,13,0,3,10,35
Research & Development,Medical,Research Scientist,Married,Female,3936,8,8,7,1,10,37
Research & Development,Life Sciences,Manufacturing Director,Single,Female,7945,18,4,3,3,16,40
Human Resources,Human Resources,Human Resources,Married,Male,5743,14,10,2,2,1,44
Research & Development,Medical,Manager,Married,Male,15202,23,2,2,4,4,48
Sales,Medical,Sales Executive,Divorced,Male,5440,7,2,2,2,15,35
Research & Development,Technical Degree,Research Scientist,Single,Female,3760,6,6,3,1,2,24
Research & Development,Medical,Research Scientist,Married,Female,3517,5,3,2,1,8,27
Research & Development,Medical,Research Scientist,Single,Male,2580,6,4,2,1,2,27
Research & Development,Life Sciences,Laboratory Technician,Single,Male,2166,10,4,3,1,7,40
Sales,Medical,Sales Executive,Single,Male,5869,8,5,4,2,10,29
Research & Development,Life Sciences,Healthcare Representative,Married,Female,8008,9,3,2,3,5,36
Research & Development,Life Sciences,Manufacturing Director,Divorced,Male,5206,7,7,7,2,2,25
Research & Development,Medical,Manufacturing Director,Married,Male,5295,7,5,0,2,12,39
Research & Development,Other,Research Director,Married,Female,16413,27,4,2,4,22,49
Research & Development,Life Sciences,Research Director,Divorced,Female,13269,19,14,11,3,17,50
Sales,Medical,Sales Representative,Single,Female,2783,2,2,2,1,2,20
Research & Development,Life Sciences,Research Scientist,Divorced,Female,5433,11,11,9,2,3,34
Research & Development,Life Sciences,Laboratory Technician,Single,Male,2013,15,4,3,1,7,36
Research & Development,Life Sciences,Healthcare Representative,Married,Female,13966,30,15,12,4,6,49
Research & Development,Medical,Manufacturing Director,Married,Female,4374,4,3,2,2,1,36
Research & Development,Life Sciences,Healthcare Representative,Divorced,Male,6842,13,5,4,2,3,36
Research & Development,Medical,Manager,Married,Female,17426,36,10,7,4,22,54
Research & Development,Life Sciences,Research Director,Married,Male,17603,14,14,11,4,15,43
Sales,Other,Sales Executive,Single,Male,4581,13,11,7,2,12,35
Research & Development,Life Sciences,Research Scientist,Married,Male,4735,19,13,9,2,1,38
Sales,Medical,Sales Executive,Divorced,Male,4187,10,10,9,2,5,29
Sales,Medical,Sales Executive,Divorced,Male,5505,6,6,4,2,2,33
Research & Development,Medical,Research Scientist,Divorced,Male,5470,10,9,6,2,2,32
Sales,Life Sciences,Sales Executive,Married,Female,5476,10,10,2,2,5,31
Research & Development,Medical,Laboratory Technician,Divorced,Female,2587,17,2,2,1,16,49
Research & Development,Medical,Laboratory Technician,Single,Female,2440,4,4,3,1,2,38
Sales,Life Sciences,Manager,Divorced,Female,15972,29,3,2,4,2,47
Research & Development,Life Sciences,Manager,Single,Male,15379,23,8,0,4,1,49
Sales,Life Sciences,Sales Executive,Single,Male,7082,21,2,2,3,23,41
Sales,Life Sciences,Sales Representative,Single,Male,2728,2,2,2,1,9,20
Sales,Life Sciences,Sales Executive,Divorced,Female,5368,7,6,2,2,16,33
Research & Development,Life Sciences,Healthcare Representative,Married,Male,5347,10,3,2,2,26,36
Human Resources,Life Sciences,Human Resources,Divorced,Female,3195,8,2,2,1,1,44
Research & Development,Medical,Laboratory Technician,Single,Male,3989,5,5,2,1,8,23
Research & Development,Medical,Laboratory Technician,Married,Female,3306,7,0,0,1,4,38
Research & Development,Medical,Healthcare Representative,Married,Male,7005,11,4,2,3,24,53
Sales,Medical,Sales Representative,Married,Female,2655,19,9,7,1,7,48
Research & Development,Life Sciences,Laboratory Technician,Single,Male,1393,1,1,0,1,2,32
Research & Development,Medical,Laboratory Technician,Single,Male,2570,7,7,7,1,7,26
Research & Development,Technical Degree,Research Scientist,Divorced,Male,3537,8,4,2,1,22,55
Research & Development,Medical,Laboratory Technician,Married,Male,3986,15,15,13,2,5,34
Research & Development,Medical,Healthcare Representative,Divorced,Male,10883,19,1,0,3,1,60
Research & Development,Medical,Laboratory Technician,Married,Male,2028,14,14,13,1,21,33
Sales,Medical,Sales Executive,Divorced,Male,9525,6,6,3,2,1,37
Research & Development,Life Sciences,Research Scientist,Married,Female,2929,10,10,7,1,19,34
Sales,Life Sciences,Sales Representative,Divorced,Male,2275,3,3,2,1,7,23
Research & Development,Life Sciences,Healthcare Representative,Married,Female,7879,9,8,7,3,2,44
Research & Development,Medical,Research Scientist,Single,Male,4930,6,5,4,1,2,35
Sales,Medical,Sales Executive,Married,Male,7847,10,10,8,2,2,43
Research & Development,Medical,Research Scientist,Married,Male,4401,5,5,4,1,9,24
Sales,Marketing,Sales Executive,Single,Male,9241,10,10,7,3,6,41
Research & Development,Medical,Laboratory Technician,Married,Female,2974,9,5,2,1,9,29
Sales,Life Sciences,Sales Representative,Single,Female,4502,17,13,7,2,2,36
Research & Development,Life Sciences,Healthcare Representative,Married,Male,10748,25,23,4,3,1,45
Human Resources,Human Resources,Human Resources,Married,Male,1555,1,1,0,1,22,24
Sales,Life Sciences,Sales Executive,Married,Male,12936,25,23,10,4,9,47
Research & Development,Medical,Laboratory Technician,Married,Male,2305,3,3,2,1,17,26
Research & Development,Technical Degree,Research Director,Single,Female,16704,21,21,6,4,28,45
Research & Development,Life Sciences,Research Scientist,Married,Male,3433,10,5,3,1,10,32
Research & Development,Life Sciences,Laboratory Technician,Married,Male,3477,6,5,3,1,2,31
Human Resources,Human Resources,Human Resources,Married,Male,6430,10,3,2,2,4,41
Research & Development,Life Sciences,Manufacturing Director,Married,Female,6516,18,1,0,2,8,40
Research & Development,Medical,Laboratory Technician,Divorced,Male,3907,6,6,2,1,29,24
Research & Development,Life Sciences,Healthcare Representative,Single,Male,5562,19,10,9,2,13,46
Research & Development,Life Sciences,Manufacturing Director,Married,Male,6883,17,7,7,2,27,35
Research & Development,Life Sciences,Research Scientist,Married,Male,2862,10,10,8,1,16,30
Sales,Marketing,Sales Executive,Married,Male,4978,4,1,0,2,2,47
Sales,Life Sciences,Sales Executive,Divorced,Male,10368,13,10,3,3,2,46
Sales,Marketing,Sales Executive,Divorced,Male,6134,16,2,2,2,13,36
Sales,Life Sciences,Sales Executive,Single,Male,6735,10,0,0,2,1,32
Research & Development,Medical,Laboratory Technician,Single,Female,3295,3,3,2,1,4,23
Research & Development,Technical Degree,Manufacturing Director,Single,Female,5238,9,5,4,2,24,31
Research & Development,Life Sciences,Laboratory Technician,Married,Male,6472,9,9,8,2,1,39
Sales,Life Sciences,Sales Executive,Married,Male,9610,10,4,2,3,19,32
Sales,Medical,Manager,Single,Male,19833,21,21,8,5,7,40
Human Resources,Life Sciences,Human Resources,Married,Female,9756,9,5,3,3,4,45
Research & Development,Technical Degree,Research Scientist,Single,Female,4968,10,9,7,1,2,30
Human Resources,Medical,Human Resources,Married,Male,2145,3,2,1,1,10,24
Human Resources,Human Resources,Human Resources,Divorced,Female,2180,6,4,2,1,8,30
Sales,Technical Degree,Sales Executive,Married,Male,8346,6,5,2,2,5,31
Research & Development,Medical,Research Scientist,Single,Female,3445,6,6,4,1,8,27
Sales,Marketing,Sales Representative,Single,Female,2760,2,2,2,1,9,29
Research & Development,Life Sciences,Healthcare Representative,Single,Male,6294,10,3,2,2,1,29
Sales,Marketing,Sales Executive,Divorced,Male,7140,12,7,7,3,15,30
Research & Development,Medical,Research Scientist,Married,Male,2932,6,5,2,1,2,34
Sales,Marketing,Sales Executive,Single,Female,5147,13,11,7,2,2,33
Sales,Marketing,Sales Executive,Single,Female,4507,8,5,4,2,11,49
Sales,Life Sciences,Sales Executive,Single,Female,8564,11,0,0,3,16,33
Research & Development,Medical,Laboratory Technician,Married,Female,2468,9,6,5,1,2,38
Sales,Marketing,Sales Executive,Married,Male,8161,10,1,0,3,16,31
Research & Development,Technical Degree,Research Scientist,Divorced,Female,2109,1,1,0,1,4,29
Research & Development,Life Sciences,Healthcare Representative,Married,Male,5294,10,7,7,2,16,30
Research & Development,Technical Degree,Research Scientist,Single,Male,2718,12,7,7,1,5,32
Research & Development,Medical,Healthcare Representative,Married,Male,5811,15,1,0,2,18,38
Research & Development,Technical Degree,Research Scientist,Married,Male,2437,6,1,0,1,17,43
Research & Development,Medical,Laboratory Technician,Divorced,Male,2766,7,5,4,1,12,42
Research & Development,Medical,Research Director,Married,Male,19038,34,1,0,5,2,55
Research & Development,Technical Degree,Research Scientist,Divorced,Male,3055,11,9,7,2,4,33
Research & Development,Life Sciences,Laboratory Technician,Divorced,Male,2289,5,5,4,1,9,41
Sales,Life Sciences,Sales Executive,Divorced,Male,4001,15,15,7,2,10,34
Research & Development,Medical,Manufacturing Director,Married,Female,12965,27,3,2,4,1,53
Human Resources,Life Sciences,Human Resources,Single,Male,3539,10,9,8,1,2,43
Sales,Life Sciences,Sales Executive,Single,Female,6029,6,2,2,2,3,34
Sales,Marketing,Sales Representative,Single,Male,2679,1,1,0,1,7,21
Research & Development,Other,Laboratory Technician,Married,Female,3702,5,5,4,1,6,38
Research & Development,Medical,Laboratory Technician,Married,Female,2398,1,1,0,1,8,22
Sales,Marketing,Sales Executive,Married,Female,5468,13,12,7,2,29,31
Research & Development,Technical Degree,Manager,Married,Female,13116,15,2,2,3,3,51
Sales,Marketing,Sales Executive,Married,Male,4189,5,5,3,2,9,37
Research & Development,Medical,Research Director,Divorced,Male,19328,24,2,2,5,2,46
Research & Development,Life Sciences,Healthcare Representative,Married,Male,8321,15,12,7,3,10,36
Research & Development,Medical,Research Scientist,Divorced,Male,2342,6,5,3,1,1,44
Human Resources,Other,Human Resources,Divorced,Male,4071,19,10,7,2,8,37
Sales,Life Sciences,Sales Executive,Single,Male,5813,10,10,7,2,27,35
Research & Development,Life Sciences,Research Scientist,Married,Male,3143,14,10,6,1,8,33
Research & Development,Life Sciences,Research Scientist,Married,Male,2044,5,5,3,1,1,28
Research & Development,Medical,Research Director,Single,Male,13464,9,4,2,3,10,39
Sales,Life Sciences,Sales Executive,Single,Male,7991,6,2,2,2,26,46
Research & Development,Life Sciences,Laboratory Technician,Married,Female,3377,7,4,2,1,2,40
Research & Development,Medical,Healthcare Representative,Married,Male,5538,10,0,0,2,13,42
Research & Development,Medical,Manufacturing Director,Divorced,Male,5762,15,7,7,2,2,35
Human Resources,Human Resources,Human Resources,Divorced,Male,2592,13,11,8,1,2,38
Research & Development,Life Sciences,Laboratory Technician,Married,Male,5346,11,7,7,2,9,34
Research & Development,Medical,Manufacturing Director,Single,Male,4213,10,10,8,2,10,37
Sales,Life Sciences,Sales Executive,Divorced,Male,4127,7,2,2,2,20,39
Research & Development,Life Sciences,Research Scientist,Single,Male,2438,7,3,2,1,9,43
Research & Development,Life Sciences,Healthcare Representative,Single,Male,6870,11,3,2,2,5,41
Sales,Marketing,Sales Executive,Divorced,Female,10447,23,22,5,3,4,41
Research & Development,Medical,Manufacturing Director,Single,Female,9667,9,7,2,3,10,30
Human Resources,Medical,Human Resources,Married,Female,2148,6,5,4,1,20,26
Research & Development,Medical,Healthcare Representative,Married,Female,8926,13,9,7,2,21,46
Research & Development,Life Sciences,Healthcare Representative,Divorced,Female,6513,12,5,3,2,1,40
Sales,Technical Degree,Sales Executive,Married,Male,6799,10,10,8,2,8,34
Sales,Medical,Manager,Divorced,Male,16291,37,16,14,4,2,58
Research & Development,Medical,Laboratory Technician,Married,Male,2705,6,5,3,1,23,35
Research & Development,Life Sciences,Manufacturing Director,Divorced,Female,10333,28,22,10,3,4,47
Research & Development,Life Sciences,Healthcare Representative,Divorced,Female,4448,15,7,7,2,12,40
Research & Development,Medical,Research Scientist,Married,Female,6854,14,7,7,2,7,54
Sales,Marketing,Sales Executive,Married,Female,9637,9,3,2,3,7,31
Research & Development,Medical,Research Scientist,Married,Female,3591,3,3,2,1,1,28
Sales,Marketing,Sales Representative,Married,Female,5405,20,4,3,2,2,38
Sales,Medical,Sales Executive,Single,Male,4684,5,5,2,2,10,26
Research & Development,Life Sciences,Research Director,Married,Male,15787,23,2,2,4,15,58
Research & Development,Medical,Research Scientist,Single,Female,1514,0,0,0,1,14,18
Human Resources,Human Resources,Human Resources,Married,Male,2956,2,1,0,1,18,31
Human Resources,Human Resources,Human Resources,Divorced,Male,2335,4,2,0,1,13,29
Sales,Life Sciences,Sales Executive,Married,Female,5154,10,8,7,2,2,45
Research & Development,Other,Research Scientist,Married,Female,6962,15,1,0,2,2,36
Sales,Life Sciences,Sales Executive,Married,Male,5675,7,7,7,2,2,43
Research & Development,Life Sciences,Laboratory Technician,Single,Female,2379,6,5,2,1,5,27
Research & Development,Medical,Laboratory Technician,Married,Male,3812,11,11,10,1,20,29
Sales,Marketing,Sales Executive,Single,Male,4648,4,0,0,2,10,32
Research & Development,Technical Degree,Research Scientist,Married,Male,2936,10,6,3,1,10,42
Research & Development,Life Sciences,Laboratory Technician,Single,Female,2105,7,2,0,1,9,47
Research & Development,Life Sciences,Manufacturing Director,Divorced,Male,8578,12,9,7,3,2,46
Human Resources,Life Sciences,Human Resources,Divorced,Male,2706,3,3,2,1,1,28
Research & Development,Life Sciences,Healthcare Representative,Divorced,Male,6384,11,7,6,2,29,29
Research & Development,Life Sciences,Laboratory Technician,Single,Male,3968,8,0,0,1,8,42
Sales,Marketing,Sales Executive,Single,Male,9907,7,2,2,2,2,32
Sales,Technical Degree,Sales Executive,Divorced,Female,13225,25,19,8,4,3,46
Sales,Medical,Sales Representative,Married,Female,3540,9,9,8,2,23,27
Human Resources,Medical,Human Resources,Married,Male,2804,1,1,0,1,6,29
Research & Development,Medical,Manager,Married,Female,19392,21,16,14,5,6,43
Research & Development,Life Sciences,Research Director,Married,Male,19665,29,22,9,5,10,48
Research & Development,Life Sciences,Research Scientist,Single,Male,2439,1,1,0,1,24,29
Sales,Life Sciences,Sales Executive,Married,Female,7314,14,8,7,3,10,46
Research & Development,Life Sciences,Research Scientist,Married,Female,4774,8,7,3,1,15,27
Research & Development,Other,Research Scientist,Divorced,Male,3902,7,2,2,2,19,39
Research & Development,Technical Degree,Research Scientist,Married,Male,2662,19,5,4,1,2,55
Sales,Medical,Sales Representative,Married,Female,2856,1,1,0,1,3,28
Sales,Medical,Sales Representative,Single,Male,1081,1,1,0,1,9,30
Research & Development,Life Sciences,Research Scientist,Single,Male,2472,1,1,0,1,7,22
Sales,Technical Degree,Sales Executive,Married,Female,5673,10,10,7,2,10,36
Research & Development,Life Sciences,Laboratory Technician,Divorced,Male,4197,10,10,2,2,20,31
Sales,Life Sciences,Sales Executive,Married,Male,9713,9,5,0,3,4,34
Research & Development,Life Sciences,Laboratory Technician,Single,Male,2062,11,3,2,1,7,29
Research & Development,Medical,Research Scientist,Married,Male,4284,16,5,4,2,7,37
Research & Development,Other,Manufacturing Director,Married,Female,4788,4,3,2,2,16,35
Research & Development,Life Sciences,Manufacturing Director,Married,Female,5906,10,9,8,2,25,45
Human Resources,Human Resources,Human Resources,Single,Male,3886,10,10,8,2,2,36
Research & Development,Life Sciences,Manager,Divorced,Male,16823,22,19,16,4,1,40
Research & Development,Life Sciences,Research Scientist,Married,Female,2933,1,1,0,1,1,26
Sales,Medical,Sales Executive,Single,Female,6500,9,8,7,2,2,27
Research & Development,Medical,Manager,Divorced,Female,17174,24,22,7,4,22,48
Research & Development,Life Sciences,Healthcare Representative,Married,Male,5033,10,2,2,2,1,44
Research & Development,Technical Degree,Research Scientist,Married,Male,2307,5,5,0,1,16,34
Research & Development,Life Sciences,Laboratory Technician,Single,Male,2587,5,4,0,1,24,56
Sales,Marketing,Sales Executive,Married,Male,5507,12,4,3,2,17,36
Sales,Marketing,Sales Executive,Married,Female,4393,14,5,4,2,8,41
Research & Development,Medical,Research Director,Married,Male,13348,18,13,7,3,6,42
Sales,Medical,Sales Executive,Divorced,Female,6583,8,5,4,2,10,31
Sales,Medical,Sales Executive,Married,Female,8103,9,4,1,2,3,34
Research & Development,Medical,Laboratory Technician,Divorced,Female,3978,4,2,2,1,4,31
Research & Development,Other,Laboratory Technician,Married,Male,2544,8,7,7,1,6,26
Research & Development,Medical,Healthcare Representative,Single,Male,5399,12,4,3,2,1,45
Sales,Marketing,Sales Executive,Single,Male,5487,10,10,9,2,10,33
Sales,Life Sciences,Sales Executive,Married,Male,6834,7,7,7,2,1,28
Sales,Technical Degree,Sales Representative,Single,Male,1091,1,1,0,1,24,29
Sales,Life Sciences,Sales Executive,Married,Female,5736,10,3,2,2,21,39
Research & Development,Technical Degree,Research Scientist,Married,Male,2226,6,5,2,1,2,27
Research & Development,Other,Research Scientist,Married,Male,5747,16,15,11,2,22,34
Sales,Marketing,Sales Executive,Single,Female,9854,6,2,2,2,13,28
Research & Development,Technical Degree,Research Scientist,Married,Male,5467,16,8,7,2,14,47
Sales,Marketing,Sales Executive,Married,Female,5380,6,0,0,2,11,56
Research & Development,Medical,Manufacturing Director,Married,Male,5151,10,10,9,2,9,39
Research & Development,Medical,Research Scientist,Divorced,Female,2133,20,20,7,2,8,38
Sales,Life Sciences,Manager,Married,Female,17875,29,1,0,4,21,58
Research & Development,Life Sciences,Research Scientist,Single,Female,2432,8,4,3,1,5,32
Research & Development,Life Sciences,Research Scientist,Divorced,Male,4771,10,5,3,1,9,38
Research & Development,Life Sciences,Research Director,Married,Male,19161,28,5,3,5,2,49
Sales,Marketing,Sales Executive,Divorced,Male,5087,14,0,0,2,12,42
Human Resources,Human Resources,Human Resources,Married,Female,2863,1,1,0,1,22,27
Sales,Medical,Sales Executive,Married,Male,5561,6,5,4,2,18,35
Research & Development,Medical,Research Scientist,Single,Male,2144,5,5,4,1,16,28
Research & Development,Medical,Research Scientist,Divorced,Male,3065,4,4,3,1,3,31
Research & Development,Life Sciences,Laboratory Technician,Married,Male,2810,5,5,2,1,9,36
Sales,Marketing,Sales Executive,Single,Male,9888,14,14,1,3,1,34
Sales,Medical,Sales Executive,Divorced,Male,8628,9,8,1,3,13,34
Research & Development,Medical,Laboratory Technician,Single,Male,2867,8,7,6,1,1,26
Research & Development,Life Sciences,Healthcare Representative,Married,Male,5373,6,5,2,2,1,29
Research & Development,Medical,Healthcare Representative,Divorced,Female,6667,9,5,2,2,15,32
Research & Development,Life Sciences,Research Scientist,Married,Male,5003,10,10,7,2,1,31
Research & Development,Technical Degree,Laboratory Technician,Divorced,Male,2367,6,4,3,1,17,28
Sales,Life Sciences,Sales Representative,Single,Male,2858,20,1,0,1,1,38
Sales,Life Sciences,Sales Executive,Married,Female,5204,10,10,9,2,7,35
Sales,Marketing,Sales Executive,Single,Male,4105,7,7,7,2,9,27
